height,weight,rank
179,82,2nd
142,62,5th
191,81,1st
174,78,2nd
168,76,2nd
203,84,1st
192,66,3rd
160,61,1st
173,68,1st
166,87,3rd
176,57,3rd
193,54,4th
192,66,3rd
156,91,4th
170,49,3rd
154,66,4th
151,90,4th
164,69,2nd
200,81,1st
149,55,4th
194,84,1st
200,72,3rd
150,105,4th
187,78,1st
137,75,6th
160,106,4th
169,92,3rd
201,64,4th
198,95,1st
159,47,2nd
185,52,4th
169,98,3rd
146,57,4th
191,47,4th
173,62,1st
202,57,4th
205,87,4th
146,46,4th
169,53,2nd
163,88,3rd
164,81,3rd
182,68,1st
181,68,1st
151,80,4th
149,95,4th
206,109,4th
197,102,2nd
144,86,5th
148,77,4th
138,95,6th
194,90,1st
163,103,4th
144,87,5th
188,55,4th
202,76,2nd
144,63,5th
152,73,4th
203,107,2nd
201,49,4th
154,75,4th
201,87,1st
180,67,1st
200,83,1st
166,103,4th
183,106,3rd
165,97,4th
138,47,6th
195,82,1st
159,92,4th
172,64,1st
145,95,5th
198,97,1st
151,102,4th
185,61,3rd
183,77,1st
204,66,4th
167,98,4th
182,71,1st
139,92,6th
199,92,1st
170,80,2nd
205,53,4th
178,49,4th
171,71,1st
152,90,4th
174,48,4th
168,106,4th
153,55,4th
178,95,2nd
144,79,5th
147,50,4th
191,90,1st
153,109,4th
143,59,5th
187,78,1st
144,66,5th
169,51,3rd
179,108,3rd
170,103,4th
161,51,2nd
200,82,1st
159,53,1st
199,73,3rd
197,58,4th
182,100,3rd
197,54,4th
205,97,4th
173,68,1st
188,48,4th
137,87,6th
197,110,2nd
161,102,4th
155,95,4th
139,73,6th
158,110,4th
152,91,4th
157,61,4th
172,87,2nd
152,57,4th
187,52,4th
143,54,5th
199,87,1st
204,91,4th
155,106,4th
174,55,3rd
142,45,5th
138,94,6th
139,78,6th
164,90,3rd
157,45,4th
152,110,4th
198,76,2nd
189,73,1st
159,86,3rd
153,70,4th
178,67,1st
149,106,4th
175,93,3rd
139,68,6th
173,71,1st
180,71,1st
198,52,4th
144,105,5th
182,92,2nd
173,77,2nd
175,83,2nd
140,83,6th
176,46,4th
145,47,5th
171,77,2nd
172,50,3rd
189,52,4th
176,105,3rd
156,56,4th
139,50,6th
201,91,1st
160,106,4th
177,106,3rd
190,79,1st
196,57,4th
185,53,4th
142,103,5th
185,67,2nd
170,50,3rd
147,95,4th
198,101,2nd
151,107,4th
160,97,4th
181,59,3rd
160,73,2nd
201,69,3rd
163,63,1st
198,68,3rd
161,80,3rd
174,59,2nd
162,88,3rd
164,62,1st
173,81,2nd
181,60,3rd
165,92,3rd
202,45,4th
165,84,3rd
200,86,1st
192,80,1st
138,106,6th
176,106,3rd
152,83,4th
182,92,2nd
200,71,3rd
166,94,3rd
156,67,4th
189,60,3rd
135,62,6th
205,62,4th
150,79,4th
146,108,4th
171,57,2nd
174,92,3rd
198,95,1st
174,72,1st
147,80,4th
178,79,1st
166,46,3rd
191,58,4th
142,86,5th
197,81,1st
196,76,2nd
137,67,6th
135,99,6th
158,104,4th
142,109,5th
155,105,4th
138,52,6th
193,105,2nd
173,62,1st
193,77,1st
140,58,6th
139,64,6th
150,107,4th
200,98,1st
158,66,4th
205,110,4th
155,64,4th
141,102,5th
179,80,1st
185,93,2nd
166,107,4th
159,85,3rd
200,75,2nd
135,103,6th
196,64,3rd
168,54,2nd
155,92,4th
177,72,1st
150,102,4th
194,58,4th
169,52,3rd
164,58,1st
184,70,1st
191,53,4th
178,77,1st
172,92,3rd
140,78,6th
148,103,4th
178,65,1st
194,77,1st
171,67,1st
197,91,1st
149,95,4th
159,96,4th
196,98,2nd
160,78,3rd
147,64,4th
143,45,5th
155,76,4th
177,90,2nd
179,100,3rd
140,50,6th
197,56,4th
143,59,5th
136,77,6th
136,53,6th
154,61,4th
205,82,4th
171,85,2nd
182,51,4th
183,70,1st
161,81,3rd
175,90,2nd
185,106,3rd
206,72,4th
142,46,5th
155,81,4th
194,58,4th
167,83,2nd
167,107,4th
192,102,2nd
196,74,2nd
163,92,3rd
193,86,1st
153,53,4th
195,83,1st
175,107,3rd
168,101,4th
160,66,2nd
181,105,3rd
169,105,4th
138,100,6th
206,85,4th
141,107,5th
136,94,6th
147,90,4th
195,101,2nd
160,54,1st
177,51,3rd
188,55,4th
192,94,2nd
161,101,4th
151,62,4th
206,88,4th
166,66,1st
140,104,6th
135,61,6th
167,86,3rd
163,78,2nd
144,61,5th
170,89,3rd
177,83,2nd
182,68,1st
190,84,1st
156,97,4th
167,104,4th
168,80,2nd
186,81,1st
141,71,5th
163,105,4th
189,48,4th
201,60,4th
142,63,5th
182,83,2nd
195,84,1st
138,80,6th
176,54,3rd
172,59,2nd
146,92,4th
157,60,4th
192,89,1st
174,89,2nd
136,75,6th
205,88,4th
206,91,4th
160,71,2nd
149,73,4th
202,78,2nd
160,102,4th
141,64,5th
169,77,2nd
200,54,4th
188,75,1st
198,76,2nd
154,68,4th
165,55,1st
204,46,4th
168,60,1st
158,89,4th
172,87,2nd
149,75,4th
173,71,1st
204,78,4th
202,72,3rd
159,105,4th
184,83,1st
163,94,4th
176,107,3rd
183,49,4th
143,93,5th
180,84,2nd
189,96,2nd
191,46,4th
193,57,4th
148,103,4th
175,101,3rd
145,71,5th
160,66,2nd
158,90,4th
187,76,1st
202,48,4th
144,80,5th
203,86,1st
190,69,2nd
176,95,3rd
168,79,2nd
206,92,4th
202,49,4th
181,91,2nd
144,58,5th
169,48,3rd
143,70,5th
147,70,4th
161,106,4th
147,77,4th
162,87,3rd
141,106,5th
171,98,3rd
164,87,3rd
146,78,4th
153,91,4th
173,94,3rd
170,50,3rd
157,105,4th
163,95,4th
140,93,6th
185,97,2nd
150,102,4th
150,70,4th
167,83,2nd
194,90,1st
201,110,2nd
179,55,3rd
192,84,1st
142,66,5th
176,99,3rd
177,87,2nd
141,65,5th
191,76,1st
198,93,1st
170,51,3rd
164,96,4th
163,105,4th
160,74,2nd
141,46,5th
200,54,4th
206,92,4th
178,72,1st
143,105,5th
178,59,2nd
173,55,3rd
179,105,3rd
148,78,4th
159,109,4th
136,64,6th
187,105,3rd
172,55,2nd
179,85,2nd
148,47,4th
191,106,2nd
157,68,4th
141,90,5th
154,68,4th
137,69,6th
148,65,4th
146,73,4th
137,78,6th
199,82,1st
151,80,4th
136,68,6th
141,99,5th
188,70,2nd
145,100,5th
169,96,3rd
201,79,2nd
176,47,4th
149,100,4th
149,54,4th
139,50,6th
188,108,3rd
178,78,1st
139,73,6th
153,72,4th
202,68,3rd
161,83,3rd
137,70,6th
146,51,4th
152,88,4th
155,100,4th
174,63,1st
156,52,4th
141,55,5th
152,76,4th
157,107,4th
204,56,4th
149,74,4th
174,65,1st
165,106,4th
197,76,2nd
198,51,4th
197,85,1st
145,85,5th
162,51,2nd
149,104,4th
196,61,4th
156,53,4th
197,50,4th
203,99,1st
145,74,5th
202,101,1st
163,85,3rd
177,48,4th
197,56,4th
197,71,3rd
197,53,4th
203,90,1st
194,66,3rd
194,82,1st
137,49,6th
170,45,4th
176,55,3rd
190,99,2nd
166,105,4th
189,110,3rd
154,74,4th
147,56,4th
148,54,4th
192,50,4th
160,99,4th
152,103,4th
206,73,4th
196,97,2nd
192,104,2nd
203,87,1st
156,51,4th
139,83,6th
202,72,3rd
143,87,5th
202,86,1st
164,45,3rd
188,62,3rd
167,98,4th
206,97,4th
190,110,3rd
161,66,2nd
143,108,5th
184,108,3rd
171,104,4th
158,53,4th
190,60,3rd
142,47,5th
172,60,1st
185,71,1st
171,77,2nd
149,105,4th
164,78,2nd
161,96,4th
139,59,6th
200,95,1st
160,57,1st
176,109,4th
158,70,4th
177,76,1st
181,61,2nd
180,60,2nd
198,90,1st
206,68,4th
164,49,3rd
138,48,6th
177,107,3rd
205,61,4th
187,58,3rd
199,54,4th
174,55,3rd
145,68,5th
154,77,4th
178,95,2nd
175,75,1st
150,69,4th
154,86,4th
205,102,4th
197,57,4th
155,104,4th
190,61,3rd
190,46,4th
143,108,5th
196,71,3rd
168,107,4th
205,84,4th
160,95,4th
193,78,1st
202,80,2nd
151,93,4th
185,71,1st
152,103,4th
137,60,6th
144,87,5th
201,79,2nd
204,47,4th
138,60,6th
143,99,5th
189,59,3rd
142,106,5th
182,47,4th
181,59,3rd
162,88,3rd
154,60,4th
177,97,3rd
144,55,5th
188,59,3rd
184,58,3rd
159,104,4th
186,57,3rd
175,52,3rd
140,107,6th
144,101,5th
152,85,4th
194,60,4th
140,47,6th
166,62,1st
167,55,2nd
147,100,4th
144,68,5th
176,82,2nd
156,45,4th
136,57,6th
187,109,3rd
145,79,5th
163,80,3rd
196,70,3rd
170,47,3rd
176,59,2nd
146,66,4th
141,100,5th
158,108,4th
144,70,5th
159,50,2nd
178,95,2nd
137,84,6th
198,85,1st
173,66,1st
162,81,3rd
176,84,2nd
206,59,4th
199,88,1st
163,60,1st
156,86,4th
189,93,2nd
190,81,1st
150,107,4th
186,55,4th
161,97,4th
145,87,5th
186,99,2nd
144,72,5th
174,96,3rd
199,70,3rd
170,95,3rd
199,54,4th
183,102,3rd
167,60,1st
194,76,1st
190,88,1st
136,48,6th
205,103,4th
173,62,1st
178,52,3rd
135,76,6th
168,76,2nd
152,92,4th
149,96,4th
187,77,1st
135,104,6th
191,103,2nd
197,63,3rd
206,107,4th
189,56,4th
136,94,6th
196,47,4th
193,54,4th
163,64,1st
205,90,4th
174,95,3rd
180,96,2nd
151,52,4th
162,86,3rd
199,59,4th
153,110,4th
142,66,5th
198,47,4th
150,76,4th
191,75,1st
182,48,4th
161,99,4th
141,60,5th
137,46,6th
152,59,4th
152,88,4th
198,74,2nd
166,50,3rd
163,89,3rd
170,96,3rd
170,57,2nd
198,90,1st
184,67,2nd
149,77,4th
183,102,3rd
152,72,4th
185,51,4th
181,45,4th
150,99,4th
144,86,5th
177,45,4th
176,86,2nd
204,82,4th
147,89,4th
197,100,2nd
182,65,2nd
186,94,2nd
136,55,6th
184,59,3rd
173,75,2nd
165,107,4th
204,98,4th
160,80,3rd
180,74,1st
138,53,6th
199,105,2nd
205,107,4th
180,81,2nd
193,101,2nd
198,103,2nd
186,72,1st
183,107,3rd
159,70,2nd
153,97,4th
203,64,4th
191,48,4th
173,98,3rd
198,55,4th
173,105,4th
147,62,4th
191,79,1st
162,46,3rd
166,85,3rd
161,68,2nd
164,49,3rd
139,101,6th
166,84,3rd
144,65,5th
150,51,4th
154,49,4th
162,110,4th
143,104,5th
147,67,4th
180,46,4th
177,83,2nd
171,83,2nd
195,46,4th
187,95,2nd
142,49,5th
160,82,3rd
193,100,2nd
197,99,2nd
190,69,2nd
173,47,4th
146,88,4th
204,64,4th
179,105,3rd
155,88,4th
169,49,3rd
136,102,6th
141,94,5th
187,64,3rd
187,90,2nd
136,71,6th
144,81,5th
171,105,4th
186,74,1st
185,66,2nd
197,92,1st
153,71,4th
143,62,5th
177,50,4th
195,97,2nd
175,60,2nd
148,110,4th
137,95,6th
166,49,3rd
159,85,3rd
168,49,3rd
178,77,1st
162,58,1st
155,85,4th
177,99,3rd
171,85,2nd
140,73,6th
165,89,3rd
166,49,3rd
185,94,2nd
152,50,4th
163,108,4th
162,48,3rd
178,110,3rd
139,93,6th
155,56,4th
202,76,2nd
187,91,2nd
166,45,3rd
177,97,3rd
174,49,3rd
181,48,4th
160,101,4th
204,98,4th
154,51,4th
193,98,2nd
140,70,6th
205,105,4th
155,70,4th
185,75,1st
202,85,1st
177,58,2nd
170,105,4th
192,83,1st
197,75,2nd
143,55,5th
201,45,4th
199,53,4th
149,64,4th
174,57,2nd
200,90,1st
194,65,3rd
169,65,1st
150,109,4th
145,104,5th
150,57,4th
172,64,1st
201,64,4th
171,81,2nd
137,101,6th
187,110,3rd
181,54,3rd
163,59,1st
176,90,2nd
191,70,2nd
181,108,3rd
146,72,4th
155,69,4th
138,96,6th
171,88,3rd
143,100,5th
157,98,4th
156,59,4th
170,101,3rd
180,81,2nd
159,67,2nd
162,109,4th
188,99,2nd
147,93,4th
144,71,5th
181,104,3rd
205,54,4th
188,69,2nd
171,54,3rd
198,79,1st
136,79,6th
159,56,1st
158,97,4th
185,71,1st
145,57,5th
202,50,4th
169,97,3rd
163,65,1st
160,49,2nd
188,101,2nd
160,71,2nd
161,64,1st
164,64,1st
180,107,3rd
175,65,1st
163,54,1st
150,80,4th
143,51,5th
169,48,3rd
155,106,4th
169,90,3rd
157,69,4th
180,61,2nd
199,81,1st
155,82,4th
197,86,1st
170,99,3rd
200,60,4th
149,82,4th
181,88,2nd
144,104,5th
174,92,3rd
203,103,1st
169,72,2nd
192,65,3rd
187,57,3rd
183,101,3rd
138,90,6th
194,66,3rd
182,98,2nd
206,95,4th
161,78,3rd
182,78,1st
187,83,1st
152,50,4th
158,105,4th
193,63,3rd
151,95,4th
176,67,1st
194,85,1st
161,49,2nd
181,58,3rd
201,97,1st
149,93,4th
195,108,2nd
155,87,4th
136,58,6th
153,91,4th
144,68,5th
203,49,4th
194,61,3rd
194,81,1st
156,82,4th
193,95,2nd
203,68,3rd
183,86,2nd
195,52,4th
202,107,2nd
140,78,6th
197,96,1st
167,69,1st
156,110,4th
135,83,6th
193,97,2nd
180,46,4th
182,74,1st
187,69,2nd
146,99,4th
169,79,2nd
182,95,2nd
141,50,5th
168,86,3rd
165,76,2nd
187,70,1st
192,45,4th
135,78,6th
154,46,4th
136,73,6th
182,64,2nd
167,71,2nd
153,108,4th
142,91,5th
198,47,4th
172,66,1st
155,55,4th
155,100,4th
161,95,4th
172,78,2nd
189,61,3rd
140,71,6th
146,100,4th
199,84,1st
145,97,5th
154,71,4th
154,62,4th
141,104,5th
179,107,3rd
196,71,3rd
135,104,6th
199,52,4th
169,108,4th
187,56,3rd
152,64,4th
148,84,4th
179,50,4th
164,90,3rd
176,46,4th
185,60,3rd
200,88,1st
188,93,2nd
152,59,4th
144,109,5th
183,67,1st
148,99,4th
155,77,4th
194,83,1st
146,107,4th
156,68,4th
187,98,2nd
136,52,6th
172,109,4th
159,94,4th
206,73,4th
169,77,2nd
206,77,4th
165,59,1st
159,95,4th
178,101,3rd
195,87,1st
149,99,4th
160,106,4th
148,64,4th
168,87,3rd
159,72,2nd
171,50,3rd
196,79,1st
179,71,1st
159,110,4th
185,88,2nd
160,63,1st
138,66,6th
170,109,4th
197,60,4th
203,79,2nd
195,47,4th
155,62,4th
164,62,1st
139,74,6th
195,89,1st
147,96,4th
183,105,3rd
189,90,2nd
197,57,4th
192,106,2nd
196,67,3rd
200,79,2nd
141,80,5th
151,95,4th
180,93,2nd
178,78,1st
200,50,4th
173,59,2nd
168,53,2nd
152,50,4th
200,81,1st
187,88,2nd
172,66,1st
137,93,6th
189,90,2nd
194,51,4th
159,88,3rd
163,62,1st
194,66,3rd
173,104,3rd
137,75,6th
148,67,4th
161,80,3rd
154,108,4th
154,89,4th
153,72,4th
137,72,6th
157,51,4th
197,45,4th
155,49,4th
170,47,3rd
205,71,4th
172,73,1st
172,57,2nd
158,102,4th
180,66,1st
202,68,3rd
135,84,6th
180,89,2nd
178,62,2nd
141,93,5th
180,46,4th
194,75,2nd
184,58,3rd
147,45,4th
202,53,4th
205,102,4th
163,98,4th
149,84,4th
175,60,2nd
145,80,5th
191,73,1st
203,88,1st
155,109,4th
166,100,4th
180,86,2nd
201,58,4th
185,84,1st
149,108,4th
184,92,2nd
140,55,6th
154,91,4th
187,67,2nd
162,52,2nd
159,89,4th
172,101,3rd
181,62,2nd
197,78,1st
167,92,3rd
137,59,6th
205,107,4th
165,55,1st
167,88,3rd
179,77,1st
182,82,1st
168,95,3rd
164,50,2nd
155,96,4th
136,62,6th
143,58,5th
192,45,4th
162,49,2nd
205,107,4th
135,89,6th
171,110,4th
160,76,2nd
189,81,1st
157,65,4th
197,83,1st
147,53,4th
137,49,6th
198,96,1st
153,49,4th
176,96,3rd
193,104,2nd
198,83,1st
196,55,4th
143,104,5th
146,88,4th
203,79,2nd
192,104,2nd
160,71,2nd
171,78,2nd
164,67,1st
156,103,4th
195,97,2nd
146,84,4th
160,64,1st
202,101,1st
169,82,2nd
185,88,2nd
149,81,4th
154,91,4th
139,65,6th
191,90,1st
202,47,4th
205,95,4th
153,97,4th
171,46,4th
191,82,1st
143,109,5th
164,46,3rd
200,65,3rd
151,107,4th
141,100,5th
185,57,3rd
164,96,4th
142,54,5th
191,52,4th
183,110,3rd
140,50,6th
199,61,4th
137,95,6th
183,91,2nd
140,73,6th
174,47,4th
168,98,3rd
167,68,1st
179,84,2nd
148,100,4th
193,102,2nd
191,51,4th
205,96,4th
167,49,3rd
196,69,3rd
191,60,3rd
161,58,1st
147,70,4th
164,105,4th
138,49,6th
204,81,4th
185,77,1st
182,63,2nd
152,50,4th
186,55,4th
170,97,3rd
137,107,6th
194,85,1st
204,46,4th
184,94,2nd
163,74,2nd
153,90,4th
182,78,1st
137,89,6th
150,94,4th
166,97,4th
179,56,3rd
140,74,6th
165,68,1st
182,59,3rd
138,68,6th
137,92,6th
195,109,2nd
173,85,2nd
150,73,4th
168,104,4th
153,99,4th
135,55,6th
151,68,4th
165,97,4th
152,83,4th
194,64,3rd
169,78,2nd
188,83,1st
154,70,4th
154,73,4th
183,91,2nd
167,84,3rd
162,73,2nd
147,66,4th
191,75,1st
138,54,6th
195,48,4th
188,91,2nd
150,108,4th
149,67,4th
172,56,2nd
172,102,3rd
155,88,4th
172,77,2nd
138,94,6th
195,57,4th
168,90,3rd
194,60,4th
178,103,3rd
153,55,4th
172,99,3rd
161,75,2nd
149,102,4th
202,76,2nd
167,45,3rd
196,55,4th
196,66,3rd
201,97,1st
197,68,3rd
177,93,2nd
147,110,4th
135,62,6th
200,80,1st
184,65,2nd
180,63,2nd
151,88,4th
175,88,2nd
144,109,5th
152,77,4th
190,108,2nd
181,75,1st
171,48,3rd
181,70,1st
163,77,2nd
160,103,4th
153,99,4th
146,83,4th
183,81,1st
179,103,3rd
165,82,3rd
177,83,2nd
168,48,3rd
168,65,1st
159,91,4th
183,88,2nd
178,94,2nd
192,94,2nd
190,110,3rd
196,88,1st
206,98,4th
179,103,3rd
172,83,2nd
166,60,1st
142,68,5th
193,103,2nd
158,70,4th
194,96,2nd
179,83,2nd
186,99,2nd
165,68,1st
157,45,4th
202,102,1st
151,55,4th
203,68,3rd
181,108,3rd
165,75,2nd
156,101,4th
141,90,5th
172,99,3rd
177,94,3rd
140,45,6th
191,102,2nd
190,90,1st
189,108,3rd
144,80,5th
145,56,5th
144,53,5th
149,56,4th
189,53,4th
184,95,2nd
154,97,4th
154,104,4th
140,91,6th
194,47,4th
195,95,1st
157,68,4th
164,74,2nd
199,53,4th
138,47,6th
159,59,1st
201,49,4th
190,46,4th
184,88,2nd
203,62,4th
200,73,3rd
177,78,1st
138,46,6th
191,79,1st
140,53,6th
167,74,2nd
157,86,4th
191,98,2nd
150,69,4th
200,53,4th
186,84,1st
204,100,4th
138,104,6th
168,76,2nd
184,66,2nd
157,102,4th
196,47,4th
136,58,6th
148,93,4th
153,90,4th
178,98,3rd
199,75,2nd
156,50,4th
180,76,1st
154,64,4th
193,57,4th
191,76,1st
188,53,4th
170,75,2nd
174,85,2nd
143,68,5th
149,69,4th
141,102,5th
187,74,1st
144,58,5th
161,105,4th
202,95,1st
136,77,6th
165,65,1st
195,85,1st
180,104,3rd
179,70,1st
202,55,4th
160,86,3rd
194,72,2nd
144,58,5th
166,54,2nd
184,95,2nd
147,65,4th
201,100,1st
163,80,3rd
183,101,3rd
138,108,6th
141,58,5th
138,75,6th
172,81,2nd
150,69,4th
165,105,4th
202,102,1st
205,69,4th
182,63,2nd
168,56,2nd
193,75,1st
164,65,1st
174,94,3rd
196,91,1st
172,76,2nd
175,106,3rd
194,68,3rd
147,74,4th
171,84,2nd
149,72,4th
177,102,3rd
168,103,4th
175,64,1st
146,58,4th
192,88,1st
194,95,2nd
184,49,4th
153,86,4th
138,83,6th
198,54,4th
200,78,2nd
204,61,4th
153,95,4th
198,94,1st
138,89,6th
142,102,5th
195,50,4th
184,75,1st
196,69,3rd
140,90,6th
173,86,2nd
182,57,3rd
190,66,3rd
185,75,1st
182,57,3rd
144,110,5th
141,58,5th
183,95,2nd
141,50,5th
161,62,1st
201,83,1st
166,73,2nd
202,78,2nd
140,105,6th
170,55,2nd
200,99,1st
180,46,4th
171,61,1st
176,103,3rd
179,77,1st
152,104,4th
186,82,1st
162,85,3rd
203,105,2nd
190,48,4th
180,61,2nd
137,48,6th
197,51,4th
137,54,6th
140,89,6th
181,101,3rd
140,110,6th
135,93,6th
141,56,5th
196,49,4th
186,81,1st
197,63,3rd
175,75,1st
181,91,2nd
181,72,1st
160,83,3rd
149,51,4th
176,97,3rd
179,105,3rd
143,52,5th
158,86,4th
205,81,4th
195,105,2nd
160,106,4th
183,78,1st
136,88,6th
142,61,5th
171,61,1st
204,50,4th
145,84,5th
173,62,1st
184,100,2nd
172,90,3rd
201,61,4th
203,90,1st
145,58,5th
204,109,4th
201,63,4th
148,76,4th
197,108,2nd
200,81,1st
161,95,4th
157,102,4th
166,66,1st
149,93,4th
190,48,4th
154,104,4th
145,54,5th
156,61,4th
189,74,1st
155,107,4th
200,65,3rd
178,74,1st
192,105,2nd
174,82,2nd
163,109,4th
170,49,3rd
202,63,4th
182,83,2nd
201,47,4th
199,101,2nd
163,92,3rd
187,63,3rd
141,77,5th
145,85,5th
175,64,1st
156,50,4th
180,104,3rd
184,81,1st
186,92,2nd
152,96,4th
137,78,6th
190,47,4th
144,96,5th
161,55,1st
183,47,4th
184,67,2nd
147,91,4th
189,57,4th
188,53,4th
197,106,2nd
203,89,1st
174,50,3rd
203,88,1st
144,62,5th
195,63,3rd
136,80,6th
160,67,2nd
147,99,4th
168,93,3rd
194,103,2nd
201,53,4th
158,52,4th
142,47,5th
152,46,4th
200,99,1st
135,109,6th
151,57,4th
171,106,4th
174,80,2nd
170,110,4th
206,55,4th
144,105,5th
202,47,4th
197,102,2nd
152,46,4th
171,59,1st
165,109,4th
145,108,5th
157,53,4th
197,77,2nd
202,106,2nd
191,45,4th
147,67,4th
153,109,4th
139,77,6th
203,107,2nd
186,76,1st
138,84,6th
206,71,4th
181,49,4th
203,85,1st
178,91,2nd
147,48,4th
200,48,4th
169,70,1st
195,48,4th
135,88,6th
139,66,6th
164,68,2nd
143,57,5th
149,60,4th
140,97,6th
143,52,5th
204,69,4th
154,105,4th
178,97,3rd
205,95,4th
148,76,4th
184,94,2nd
170,50,3rd
149,49,4th
186,63,3rd
158,53,4th
177,94,3rd
163,69,2nd
135,59,6th
151,77,4th
182,86,2nd
155,77,4th
190,80,1st
186,92,2nd
192,103,2nd
165,78,2nd
192,88,1st
194,89,1st
193,64,3rd
137,100,6th
190,70,2nd
199,110,2nd
153,108,4th
181,106,3rd
143,69,5th
137,57,6th
174,93,3rd
200,77,2nd
190,73,1st
193,45,4th
157,46,4th
138,46,6th
140,85,6th
156,46,4th
159,71,2nd
151,82,4th
139,110,6th
169,61,1st
182,100,3rd
146,104,4th
170,58,1st
173,68,1st
201,48,4th
169,64,1st
150,103,4th
149,98,4th
200,105,2nd
159,78,3rd
170,110,4th
170,50,3rd
206,84,4th
185,69,1st
136,48,6th
202,60,4th
188,89,2nd
198,73,2nd
142,95,5th
196,58,4th
168,102,4th
148,67,4th
161,100,4th
142,83,5th
165,67,1st
181,105,3rd
172,102,3rd
162,110,4th
205,94,4th
136,49,6th
164,54,1st
139,103,6th
176,53,3rd
142,79,5th
179,79,1st
180,45,4th
152,78,4th
155,82,4th
147,82,4th
157,68,4th
163,87,3rd
172,74,2nd
153,73,4th
202,95,1st
192,103,2nd
168,68,1st
137,74,6th
149,103,4th
139,58,6th
168,84,2nd
195,63,3rd
191,57,4th
151,74,4th
199,76,2nd
159,56,1st
184,74,1st
194,82,1st
184,80,1st
150,72,4th
156,57,4th
200,88,1st
172,59,2nd
135,76,6th
168,61,1st
157,56,4th
143,70,5th
164,90,3rd
201,104,2nd
186,85,1st
170,87,3rd
163,69,2nd
138,50,6th
141,81,5th
194,47,4th
183,95,2nd
143,103,5th
199,63,4th
159,67,2nd
166,54,2nd
170,108,4th
158,51,4th
141,78,5th
154,82,4th
186,68,2nd
206,85,4th
177,74,1st
143,95,5th
161,64,1st
140,109,6th
199,96,1st
175,59,2nd
142,81,5th
144,96,5th
190,79,1st
153,57,4th
145,104,5th
182,71,1st
164,64,1st
157,72,4th
203,47,4th
157,97,4th
206,59,4th
196,106,2nd
198,96,1st
196,72,2nd
151,108,4th
167,50,3rd
147,54,4th
186,88,2nd
182,46,4th
166,69,2nd
155,95,4th
153,49,4th
144,98,5th
171,71,1st
200,107,2nd
190,85,1st
206,47,4th
169,55,2nd
201,74,3rd
175,67,1st
188,87,1st
206,94,4th
145,79,5th
190,74,1st
194,66,3rd
153,83,4th
187,45,4th
154,82,4th
187,49,4th
142,78,5th
151,65,4th
150,60,4th
187,78,1st
178,76,1st
150,97,4th
141,60,5th
167,70,2nd
194,109,2nd
156,66,4th
164,97,4th
150,102,4th
163,108,4th
175,71,1st
171,49,3rd
158,57,4th
162,68,2nd
160,61,1st
188,64,3rd
181,78,1st
144,52,5th
157,61,4th
162,67,2nd
174,63,1st
155,108,4th
185,52,4th
196,105,2nd
200,110,2nd
198,57,4th
154,109,4th
183,51,4th
152,50,4th
142,63,5th
191,98,2nd
158,95,4th
182,73,1st
185,66,2nd
189,100,2nd
169,48,3rd
182,80,1st
199,108,2nd
167,76,2nd
187,68,2nd
144,98,5th
179,68,1st
183,92,2nd
191,81,1st
204,45,4th
195,95,1st
141,86,5th
166,79,2nd
179,46,4th
175,64,1st
203,74,3rd
150,45,4th
159,90,4th
198,89,1st
201,51,4th
176,101,3rd
156,80,4th
136,107,6th
204,86,4th
150,96,4th
169,89,3rd
147,106,4th
161,47,3rd
205,92,4th
153,108,4th
166,92,3rd
206,71,4th
158,61,4th
190,103,2nd
150,95,4th
186,53,4th
160,63,1st
135,98,6th
146,55,4th
172,47,4th
156,61,4th
159,47,2nd
200,88,1st
186,77,1st
174,72,1st
147,77,4th
172,62,1st
160,47,3rd
171,84,2nd
140,80,6th
152,91,4th
149,69,4th
164,68,2nd
166,75,2nd
193,82,1st
158,53,4th
201,97,1st
190,73,1st
193,98,2nd
157,56,4th
144,107,5th
189,110,3rd
150,51,4th
141,62,5th
189,56,4th
168,48,3rd
164,75,2nd
178,72,1st
152,79,4th
161,62,1st
169,86,3rd
161,52,1st
205,99,4th
200,92,1st
198,63,3rd
196,74,2nd
190,83,1st
167,110,4th
188,72,1st
206,83,4th
177,109,3rd
186,64,3rd
140,71,6th
174,102,3rd
192,63,3rd
204,92,4th
139,75,6th
199,82,1st
171,52,3rd
162,69,2nd
136,74,6th
152,82,4th
152,96,4th
182,96,2nd
182,71,1st
184,68,1st
140,75,6th
166,109,4th
195,93,1st
152,48,4th
146,60,4th
174,80,2nd
172,49,3rd
153,76,4th
136,79,6th
187,55,4th
157,60,4th
162,97,4th
173,49,3rd
175,93,3rd
176,73,1st
168,101,4th
162,98,4th
201,46,4th
181,63,2nd
197,58,4th
189,75,1st
163,106,4th
198,97,1st
163,69,2nd
161,66,2nd
139,88,6th
162,85,3rd
202,58,4th
196,67,3rd
177,55,3rd
199,86,1st
194,94,1st
196,80,1st
144,70,5th
172,105,4th
204,92,4th
152,69,4th
138,94,6th
135,80,6th
148,65,4th
198,91,1st
146,107,4th
205,86,4th
165,61,1st
202,59,4th
165,108,4th
200,109,2nd
194,57,4th
186,74,1st
167,51,3rd
160,63,1st
142,86,5th
156,67,4th
192,64,3rd
149,58,4th
201,52,4th
191,78,1st
185,81,1st
192,62,3rd
135,85,6th
168,93,3rd
160,57,1st
162,109,4th
166,68,1st
155,86,4th
168,63,1st
181,91,2nd
142,56,5th
